Data,Position,Conference,Conference Type,Receiving Team,Player,From School,Departing Conference
QB Thomas Castellanos (from UCF),QB,ACC,Power 5,Boston College,Thomas Castellanos,UCF,American Athletic Conference
RB Kye Robichaux (from Western Kentucky),RB,ACC,Power 5,Boston College,Kye Robichaux,Western Kentucky,Conference USA
WR Ryan O'Keefe (from UCF),WR,ACC,Power 5,Boston College,Ryan O'Keefe,UCF,American Athletic Conference
OL Kyle Hergel (from Texas State),OL,ACC,Power 5,Boston College,Kyle Hergel,Texas State,Sun Belt
OL Logan Taylor (from Virginia),OL,ACC,Power 5,Boston College,Logan Taylor,Virginia,ACC
DL George Rooks (from Michigan),DL,ACC,Power 5,Boston College,George Rooks,Michigan,Big Ten
DL Caleb Jones (from North Carolina A&T),DL,ACC,Power 5,Boston College,Caleb Jones,North Carolina A&T,CAA
DB Victor Nelson Jr. (from LIU),DB,ACC,Power 5,Boston College,Victor Nelson Jr.,LIU,Northeast
DB Khari Johnson (from Arkansas),DB,ACC,Power 5,Boston College,Khari Johnson,Arkansas,SEC
DB Alex Washington (from Harvard),DB,ACC,Power 5,Boston College,Alex Washington,Harvard,Ivy
QB Paul Tyson (from Arizona State),QB,ACC,Power 5,Boston College,Paul Tyson,Arizona State,Pac-12
WR Hayes Sutton (from Brown),WR,ACC,Power 5,Boston College,Hayes Sutton,Brown,Ivy
OL Ben Hoitink (from Penn),OL,ACC,Power 5,Boston College,Ben Hoitink,Penn,Ivy
OL Jake Hornibrook (from Stanford),OL,ACC,Power 5,Boston College,Jake Hornibrook,Stanford,Pac-12
OL Jacob Long (from Angelo State),OL,ACC,Power 5,Boston College,Jacob Long,Angelo State,#N/A
DL Sean Kelly (from Brown),DL,ACC,Power 5,Boston College,Sean Kelly,Clemson,ACC
CB Al Blades Jr. (from Miami),CB,ACC,Power 5,Boston College,Al Blades Jr.,Saginaw Valley State,#N/A
DB Myles Jones (from Texas A&M),DB,ACC,Power 5,Boston College,Myles Jones,Bowling Green,MAC
DB Jeremiah Lewis (from Northwestern),DB,ACC,Power 5,Boston College,Jeremiah Lewis,University of Sioux Falls,#N/A
RB Caziah Holmes (from Penn State),RB,ACC,Power 5,Florida State,Caziah Holmes,Eastern Michigan,MAC
WR Keon Coleman (from Michigan State),WR,ACC,Power 5,Florida State,Keon Coleman,North Carolina,ACC
TE Jaheim Bell (from South Carolina),TE,ACC,Power 5,Florida State,Jaheim Bell,Old Dominion,Sun Belt
TE Kyle Morlock (from Shorter),TE,ACC,Power 5,Florida State,Kyle Morlock,Georgia Tech,ACC
OL Casey Roddick (from Colorado),OL,ACC,Power 5,Florida State,Casey Roddick,Bethune-Cookman,#N/A
OL Keiondre Jones (from Auburn),OL,ACC,Power 5,Florida State,Keiondre Jones,McNeese State,#N/A
OL Jeremiah Byers (from UTEP),OL,ACC,Power 5,Florida State,Jeremiah Byers,West Virginia,Big 12
DL Darrell Jackson (from Miami) waiver was denied for 2023,DL,ACC,Power 5,Florida State,Darrell Jackson,Angelo State,#N/A
DL Braden Fiske (from Western Michigan),DL,ACC,Power 5,Florida State,Braden Fiske,West Florida,#N/A
DL Gilber Edmond (from South Carolina),DL,ACC,Power 5,Florida State,Gilber Edmond,"Miami, Ohio",#N/A
LB Justin Cryer (from Northwestern),LB,ACC,Power 5,Florida State,Justin Cryer,Notre Dame College,#N/A
CB Fentrell Cypress II (from Virginia),CB,ACC,Power 5,Florida State,Fentrell Cypress II,West Virginia,Big 12
DB Peter Warrick Jr. (from FAU),DB,ACC,Power 5,Florida State,Peter Warrick Jr.,Western Colorado,#N/A
